(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,265.6253,-2053.916363,229.7,13.52,34.6,58.46,0,1,0,0,0,265.05,265.01,13.32
,1,95,conf-95,302.8793,-2053.787332,,24.16,115.57,195.27,0,,0,0,0,,,
,2,156,conf-156,278.8815,-2053.888228,,17.64,52.26,88.29,0,,0,0,0,,,
,3,190,conf-190,266.661,-2053.914576,,13.86,35.72,60.36,0,,0,0,0,,,
,4,305,conf-305,274.6896,-2053.956938,,16.38,9.14,15.44,0,,0,0,0,,,
,5,306,conf-306,274.7359,-2053.937176,,16.39,21.54,36.4,0,,0,0,0,,,
,6,448,conf-448,283.8388,-2053.892826,,19.07,49.37,83.42,0,,0,0,0,,,
,7,472,conf-472,266.4299,-2053.893581,,13.79,48.9,82.62,0,,0,0,0,,,
,8,474,conf-474,276.3177,-2053.963377,,16.87,5.1,8.62,0,,0,0.05,0.05,,,
,9,515,conf-515,265.0037,-2053.971503,,13.32,0,0,1,,1,265,264.96,,,
,10,549,conf-549,275.0641,-2053.932629,,16.49,24.39,41.22,0,,0,0,0,,,
,11,578,conf-578,276.4354,-2053.904746,,16.91,41.89,70.78,0,,0,0,0,,,
,12,635,conf-635,263.2124,-2053.917342,,12.73,33.99,57.43,0,,0,0,0,,,
,13,669,conf-669,277.2756,-2053.889173,,17.16,51.66,87.29,0,,0,0,0,,,
,14,684,conf-684,277.9136,-2053.932347,,17.35,24.57,41.52,0,,0,0,0,,,
,15,727,conf-727,290.7082,-2053.771138,,20.99,125.73,212.44,0,,0,0,0,,,
,16,746,conf-746,256.4057,-2053.970527,,10.42,0.61,1.04,0.36,,0.36,91.08,91.06,,,
,17,747,conf-747,295.9241,-2053.861295,,22.38,69.16,116.85,0,,0,0,0,,,
,18,879,conf-879,281.858,-2053.922472,,18.51,30.77,51.99,0,,0,0,0,,,
,19,883,conf-883,279.2187,-2053.874124,,17.73,61.11,103.25,0,,0,0,0,,,
,20,962,conf-962,255.7968,-2053.96775,,10.2,2.36,3.98,0.02,,0.02,4.78,4.78,,,
